"","text"
"184","max verstappen    dominance era  wait    rise "
"185","      nicest      season    max verstappen admits   wa "
"186","max verstappen  win  belgian gp"
"187","otd  lewis hamilton stormed  victory   maiden qatar grand prix beating championship rival max vers "
"188","  season      max verstappen  redbullracing finishing    drivers  constructors "
"189","abigailshrier elonmusk oh   max verstappen "
"190"," race  improved driver biggest shock    max verstappen takestitle "
"191","   max verstappen  math  solution   history  king   art  muse   science  oxyge "
"192","dambo transformboy specterharvey mattywtf    opinion  move  verstappen     "
"193"," th win   season  max verstappen listen    moment  crossed  line  abu dhabi rounding "
"194","  real  fan       max verstappen enthusiast         grand prix "
"195"," max verstappen video "
"196","max verstappen    retire    red bull contract aged     otherstuff "
"197","redbullracing max cost red bull   time record amp shame   verstappen"
"198","formula  highestpaid drivers max verstappen zooms past lewis hamilton "
"199","thanos       change  verstappen   max fans      silverstone "
"200","sergio perezshould accept   red bulls   driver behindmax verstappenor leave  team according  "
"201","ted kravitz farewell latifi   lovely     isnt max verstappen   driving department  "
"202","max verstappen won  race yesterday  win    reason  dont "
"203","max verstappen admits win formula season    hard  replicate  "
"204","formula  highestpaid drivers max verstappen zooms past lewis hamilton "
"205","      fair  stop  driver     direct beneficiary lewis hamilton "
"206","formula  driver ratings max verstappen  class   rest  uk  news"
"207","max verstappen    retire    red bull contract aged "
"208","max verstappen won  abu dhabi grand prix  cap   excellent championship winning season   style "
"209","   medal   winning driver awarded  max verstappen yesterday  thread yes  true drive "
"210"," max verstappen signs   recordextending win  abu dhabi finale "
"211","    means  thrilling  season    provide plenty  intrigue  drama    season awar "
"212","max verstappen    retire    red bull contract aged     otherstuff "
"213"," youre    site     money formula drivers   "
"214"," verstappen    retire       stuff  "
"215","live  news verstappen    retire       stuff "
"216","racefansdotnet maxverstappen redbullracing charlesleclerc schecoperez yes  max verstappen    fair racer"
"217","max verstappen wins abu dhabi grand prix red bull driver max verstappen wins abu dhabi grand prix  yas marina "
"218","max verstappen caps fine   abu dhabi glory  lewis hamilton limpshome "
"219","max verstappen admits win formula season    hard  replicate  check ongtgtgt "
"220","double world champion max verstappen signed    dominant formula  campaign   recordextending  "
"221","  final race   vettel  special message  fellow  drivers formula formula  "
"222","max verstappen claims winners trophy   etihad airways abu dhabi grand prix uae emirates "
"223","wearetherace     max verstappen"
"224","double world champion max verstappen signed    dominant formula  campaign   recordextending  "
"225","max verstappen signs   formula  season  style   dominant win   abu dhabi grand prix wit "
"226","naturalparadigm    allowed checco  lead  race whilst  max holds  leclerc abudhabigp formula verstappen "
"227"," race  improved driver biggest shock    max verstappen takestitle "
"228"," guy  unbelievable   true egocentric colors    perez     sergio "
"229","max verstappen   win  wdc"
"230"," max verstappen signs   recordextending win  abu dhabi finale "
"231","dutchproud redbullracing maxverstappen vladimirrys  lost  copy  paste   rubbish  comme "
"232","max verstappen wins  yas marina leclerc holds  perez      race   drivers championship abudha"
"233","verstappens seasonending warning  mercedes   error gpfans  recap "
"234","mattywtf  gap  max  perez  gotten wider   season  gone    huge  verstappen "
"235","  hardcore max verstappen fan message        acctually believe   called titles  legit"
"236","rise   rookie  max verstappen   fs  rookie   twotime champion formula  fnews "
"237","formula  driver ratings max verstappen  class  therest "
"238"," driver team  overtake      race  individual drive  improved racer  biggest shock  "
"239","max verstappen   season    note  charles leclerc  left  ponder    runnerup   "
"240","max verstappen fans      telemetry  data"
"241","redbullracing maxverstappen vladimirrys  dominant performance   dominant season  super max  goat  "
"242","unbelievable  max verstappen   recordextending th win  season   yas marina circuit  abu  "
"243","formula  highestpaid drivers max verstappen zooms past lewishamilton "
"244","boxxforsofts warra father figure  max verstappen "
"245","  visitors attended   season finale  abu dhabi    cent fans coming  fr "
"246","  instead  max verstappen itll   name  "
"247","nstsports twotime world champion max verstappen claimed  recordextending th win     sublime  "
"248","intelexcellence pireili    max verstappen      time"
"249","abu dhabi gp  amp stats max verstappen    onetrack hattrick   third yas marina win plus  "
"250","abu dhabi grand prix max verstappen wins  sebastian vettel scores   final race "
"251","formula  highestpaid drivers max verstappen zooms past lewis hamilton "
"252","redbull none   cant buy  product  supports  person  max verstappen    shameless team  redbull racing"
"253","max verstappen booed   abu dhabi gp fans   reacts   racewin "
"254"," sunday red bulls max verstappen won  final race   remarkable  season  abu dhabi "
"255","max verstappen exclusive  abu dhabi reflecting  miracle  title win  lewis hamilton sympathy sky sport "
"256","seb  christian horner  max verstappen  night  "
"257"," truly believe max verstappen    hugs  apart  luka ofc "
"258","yess max verstappen worldchampion"
"259"," critique   race publication        max verstappen controversy   speculative "
"260","max verstappen  seized  final pole position      blistering lap  qualifying   seasonen "
"261","formula  highestpaid drivers max verstappen zooms past lewis hamilton  "
"262","formula  highestpaid drivers max verstappen zooms past lewis hamilton "
"263","max verstappen finished  nd consecutive world championship season   win   australias daniel ricc "
"264","formula  highestpaid drivers max verstappen zooms past lewis hamilton  "
"265","listen  am  fan im loyal supporter  charles  media   people slaughter       "
"266","formula  highestpaid drivers max verstappen zooms past lewis hamilton "
"267","max verstappen  won  world championship     real king "
"268","       max verstappen lauded   dominant fantastic season  former  world champion "
"269","breaking newsintweets   independent  newsintweets newsintweetscom breakingnews "
"270","lewis hamilton glad poor  season       abu dhabi woes "
"271","sergio prez moving past brazilian gp drama  max verstappen    "
"272","liekeleclerc rosberg alonso  button    team mates  whatever verstappen     ma "
"273","max verstappen proving    hes     "
"274","wtfofficial   dutch  max verstappen    time   champion   world"
"275","trippie espnf  senna   micheal schumacher      max verstappen lewis  bad "
"276","leclerc verstappen  charles leclerc finished   red bulls double world champion max verstappen    "
"277","abu dhabi grand prix max verstappen wins  sebastian vettel scores   final race  formula "
"278","max verstappen holding  leclerc wouldnt    nice     season  via motorsport abudhabigp"
"279","george russell wins  sprint race  interlagos  wheel  wheel battle  maxverstappen "
"280","max verstappen fans  bird brains"
"281"," sporting weekend  pictures  "
"282","landosdarling yes  remember    max verstappen   break "
"283"," sporting weekend  pictures   world cup    spectacular  ceremony "
"284"," sporting weekend  pictures  "
"285"," title fight    gonna   max verstappen charles leclerc amp lewis hamilton "
"286","results verstappen sports  race outcomes max verstappen wins abu dhabi gp  "
"287"," surviving   war  sergio perez charles leclerc warns champion max verstappen   seas "
"288","montage   sky   champ max verstappen  via youtube"
"289","congratulations max verstappen   "
"290","notinasituation   note max verstappen        excellent job  summing  "
"291"," news jeremy clarkson brands max verstappen  spoiled entitled brat  angry column "
"292"," kennedy gachuhi july th  gmt president uhuru kenyatta  former abu dhabi mayors serg "
"293","redbullracing oracle max verstappen racing"
"294"," vs  dont care    max verstappens championship      deserved  fo "
"295","max verstappen reveals  family  threatened  red bull controversy disgusting "
"296","records world champion max verstappen broke  fseason "
"297","wearetherace max verstappen  else   "
"298","momentos sublimes max verstappen ftornello soymotor "
"299","holgair  dont    somehow erases maxs behavior  brazil im   referencing  checo di "
"300","red bulls max verstappen won  final race   season  abu dhabi  ferraris charles leclerc beat  dutch "
"301","maxverstappen redbullracing hondaracingglb yes congratulations max verstappen    beast champion  en "
"302","race highlights abu dhabi grand prix "
"303","cobratate officer max emilian verstappen  gap ur bugatti   wouldve beaten carmilton"
"304","max verstappen  teenage sensation  double world champ rise   rookie aramco formula  fnews "
"305","max verstappen won  abu dhabigp "
"306","red bull  max verstappen hissy fit   finishing  drivers"
"307","max verstappen    lovely lovely    opponent   tire degradation   driver croftyf redbullracing"
"308","max verstappen   hit sir lewis hamilton  purpose  fia     condemn  stupid acts  "
"309","max verstappen wins  etihad airways abu dhabi grand prix fwona fwonk "
"310","  understood     love max verstappen   girl   loved max  "
"311","   season ratings  red bull max verstappen sergio perez ferrari charles leclerc  "
"312","max verstappen   world champion  "
"313"," abu dhabi gp postrace quotes  red bull racing max verstappen st   incredib "
"314"," abu dhabi gp max verstappen wins  race "
"315","abudhabigp   definitely     comfortable  max verstappens race wins  season   als "
"316","red bull max verstappen "
"317","washington timeschampion verstappen  formula season  th win max verstappen  won  recordexte "
"318","sergio perez cheated   wife max verstappens mum accusesmexican "
"319","max verstappens dominance       class  alltime fdrivers "
"320","   forget     max verstappen  "
"321","max verstappen letting sergio perez  wouldnt   nicest   finish "
"322"," dutchman  wrapped   title  month  japan   races  spare  unchallenged   led fro "
"323","maxverstappen redbullracing hondaracingglb fu max   change  teams name   red bull  max "
"324","wouldnt   imagined verstappen  recordbreaking   max racing formula schumi vettel "
"325","red bulls max verstappen aiming  formula  title hattrick    motivation check ongtgtgt "
"326","max verstappen claims winners trophy   etihad airways abu dhabi grand prix uae emirates "
"327","abu dhabi grand prix world champion max verstappen victorious   "
"328","  possibly block   mean   fair racing     nicest      championshi "
"329","max verstappen  won  recordextending th race      abu dhabi grand prix  conclude    "
"330","maxverstappen redbullracing hondaracingglb max chick verstappen hicks "
"331","champion max verstappen  formula season  th win  maxverstappen formula abudhabigp"
"332","lei  lightning azuki  max verstappens car   finished st    race   season cele "
"333","double world champion max verstappen signed    dominant formula campaign   recordextending th "
"334","champion max verstappen   season  th win  abu dhabi "
"335","max verstappen   formula world champion shop   world champion collection   "
"336","finalmente  season da  acabou  simplesmente max verstappen goat"
"337","        max verstappen lauded   dominant fantastic season  former  worldchampion "
"338","maxverstappen redbullracing  job max verstappen  results  max checoo checos  results   "
"339","vibes     morning   continued throughout  day max verstappen  ecuador  commanders  wiza "
"340","whaaauw    amazing    beautiful season th win   season  super max  wins   row "
"341","verstappen finishes      mornings abu dhabi gp    final  championship round    "
"342","abu dhabi grand prix max verstappen red bull   willing     help sergio prez  itfair "
"343","abu dhabi grand prix max verstappen claims recordextending th win  lewis hamilton losesrecord "
"344","fkoenig rogza naturalparadigm  basis   argument  biased personal opinion  max verstappen"
"345","race max verstappen historical "
"346","lewis hamilton   happy  seasons   max verstappen celebrates abu dhabi gp win  uk  news"
"347","max verstappen   th win    singleseason formula record  "
"348","lopezdoriga max verstappen es un hapm"
"349","goodnight  love max verstappen "
"350","max verstappens girlfriend kelly piquet strips naked  photoshoot   title triumph mirror formula  "
"351","max verstappen    world champion heres  gt  kms led gt  laps led gt  podiums "
"352","drelidavid elonmusk jordanbpeterson calling robert malone coinventor  mrna vaccine   calling karl ben "
"353","couldve wouldve shouldve max verstappen      child   matter "
"354","max verstappen blames red bull  sergio perez misses  toleclerc "
"355","lewis hamilton   happy  seasons   max verstappen celebrates abu dhabi gpwin "
"356","max verstappen heavily booed  winning abu dhabi grandprix "
"357","fcouchpilot abzsemtex espnf  im sorry  red bull    dominant  mercedes werent catching "
"358","lewis hamilton   happy  seasons   max verstappen celebrates abu dhabi gpwin "
"359","max verstappen   goat"
"360","      car     competitive     youre      "
"361","max verstappens dominance       class  alltime  drivers "
"362","analysis max verstappens dominance       class  alltime  drivers "
"363","max verstappen     recordbreakingseason "
"364","basii  annoyed    didnt call  officer max emilian verstappen"
"365","breakingfirst sighting  max verstappen   tshirt     red bull racing shirt  "
"366","max verstappen     recordbreakingseason "
"367","max verstappen domination "
"368","hhewwo max vewstappens dominance     da  cwass  awwtime  dwivews nuzzles  "
"369","max verstappen caps  win  abu dhabi  lewis hamilton fails tofinish "
"370","louisxsun hes  gonna   max verstappenthen        prize gala doing  "
"371","abu dhabi grand prix max verstappen red bull unwilling  help sergio prez  itfair "
"372","dreamnightmare blunt rotation  evan peters   jeffrey dahmer julia fox owen gray  chimpanzee max verstappen azealia banks"
"373","joedeplorable eviangelakis elonmusk cbsnewspress cbsnews   love formula max verstappen  hate  fa "
"374"," max verstappen     whore fr "
"375","world champion max verstappen wins seasonclosing abu dhabi grand prix formula news "
"376","max verstappen juara grand prix abu dhabi charles leclerc kedua  tempootomotif"
"377"," schecoperez redbullracing maxholding   driver wouldnt    nice     season  "
"378","max verstappen won  abu dhabigp "
"379","sulloreport princeyet itsreaz jamesmasey rbeltman brrrake     driver    tha "
"380","max verstappen heavily booed  winning abu dhabi grand prix   season finale "
"381","max verstappen claims season finale victory   abu dhabi grand prix   verstappen"
"382","max verstappen heavily booed  winning abu dhabi grand prix   season finale   race     "
"383","adrianhieatt unwelcomeguest gmak fastnloud  example max  squeezed   corner mb    "
"384","  possibly block    fair racing  cant believe max verstappen actually    exactly "
"385","max verstappen claims season finale victory   abu dhabi grand prix "
"386"," fantastic  season draws   close congrats   world champion max verstappen  picture    "
"387","thats     season   fallout   final race    recap abudhabigp "
"388"," poles   reach nearly      vettels wins  championships  dutch "
