"","text"
"181","zaimedez perezva redbullracing dit  follow sergio    started  formula     "
"182"," final win    max verstappen   bad   charles leclerc secures    champ "
"183","red bulls max verstappen dominated formula  abu dhabi grand prix   charles leclerc held  se "
"184","sergio perez  lost  championship    selfishness  max verstappen schecoperez skysportsf "
"185","formula   instagram win    super max  charles leclerc holds   charging sergio perez "
"186","max verstappen wins  abu dhabi gp   red bull  charles leclerc nd   ferrari amp sergio perez  "
"187","fia   biggest  driver   world according   book max verstappen lewis hamilton george russ "
"188","toolithandle  spirit  leclerc  defend nd nd   sergio perez towards      day  "
"189"," charles leclerc secured    world championship  finishing ahead  sergio perez   abudhabigp "
"190","sergio perez postrace radio oh   shame    result   season rbr    fight "
"191","  honest max cost sergio perez      stunt  race"
"192"," wonder  christian horner feels  max verstappen  letting sergio prez pass  brazil   charle "
"193","max verstappen wins   race     charles leclerc  sergio perez carlos sainz  "
"194","red bulls max verstappen wins  final race   season  abu dhabi  ferraris charles leclerc beats sergio "
"195"," watch  charles verstappen  perez perform donuts   grid  stepping    car  huge cheers  "
"196","max verstappen wins abu dhabi grand prix charles leclerc finish nd  sergio perez finish rd  completed   "
"197","congratulations  max verstappen  winning  abu dhabi formula  grand prix   followed  charles "
"198","sergio perez  looked   straight forward task  sergio   stopping twice didnt help  race  "
"199"," championship  abudhabigp driver  max verstappen  pts red bull  charles leclerc  "
"200","   sergio perezs fault   didnt finish     fucking rocket ship  season  blew    times"
"201","red bulls max verstappen wins  final race   season  abu dhabi  ferraris charles leclerc beats sergio "
"202","sergio perez       purely   facilitator"
"203","max verstappen   abudhabigp win  charles leclerc secures   sergio perez sebastian vette "
"204","carlos sainz driver   season followed  leclerc followed  sergio perez"
"205","podium  ethiadairways abudhabigp   max verstappen  red bull racing  charles leclerc   "
"206","sergio perez looks   little lego "
"207","charles leclerc   charles leclerc managed  hold  sergio perez      championship sergio pere "
"208","sergio prez  didnt feel   goodbye  vettel charles leclerc  dont      "
"209","mohlalegcr top drivers   season max verstappen sergio perez max verstappen max verstappen finished drivers"
"210","charles leclerc beat sergio perez      abudhabigp   final drivers standings red bull   "
"211"," drivers championship standing  todays race result     deserving   max verstappen  cha "
"212"," max verstappen  charles leclerc  sergio prez elevenf abudhabigp "
"213","andy vermaut sharesabu dhabi grand prix max verstappen wins  sebastian vettel scores   final race red "
"214","pagelle  max verstappen charles leclerc sergio perez george russel carlos sainz lewis hamilt "
"215","redbullracing   amends  sergio perez   childish  stupid reaction max   brazil"
"216","thats  heres  final podium    max verstappen charles leclerc sergio perez  "
"217","thats    abudhabigp    race   max   charles leclerc  nd  sergio perez  "
"218","race report red bulls max verstappen completed  historic season   final win   abudhabigp    "
"219","congrats  sergio perez charles leclerc george russell carlos sainzand lewis hamilton   seasons   formula"
"220","fanaticsferrari  biggest  driver   world according   book max verstappen lewis hamilton geo "
"221","nbsportug max verstappen winning  abudhabi grand prix    congs   teammate sergio perez  finished "
"222","gasly  albon cost sergio perez      final laps potentially   real shame  checo abudhabigp "
"223","formula etihad airways abu dhabi grand prix corrida max verstappen charles leclerc sergio perez "
"224","vamos charles leclerc charlesleclerc    drivers championship  sergio perez "
"225","max verstappen finishes     th race win meanwhile charles leclerc crosses  line ahead  sergio "
"226","  dominant win  max verstappen  th    season   abudhabigp  red bull  "
